itemname,itemid,charname,charid,locked_sources
Brioso Cuffs +3,23518,Corvinos,14,Reforge[gate not met]
Brioso Cuffs +3,23518,Eir,6,Reforge[gate not met]
Brioso Cuffs +3,23518,Enko,15,Reforge[gate not met]
Brioso Cuffs +3,23518,Garvtest,21,Reforge[gate not met]
Brioso Cuffs +3,23518,Herdofturtles,22,Reforge[gate not met]
Brioso Cuffs +3,23518,Lantyisstuck,26,Reforge[gate not met]
Brioso Cuffs +3,23518,Midnightarsal,32,Reforge[gate not met]
Brioso Cuffs +3,23518,Molly,5,Reforge[gate not met]
Brioso Cuffs +3,23518,Nut,16,Reforge[gate not met]
Brioso Cuffs +3,23518,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Cuffs +3,23518,Rirint,4,Reforge[gate not met]
Brioso Cuffs +3,23518,Ririntwo,9,Reforge[gate not met]
Brioso Cuffs +3,23518,Spaz,17,Reforge[gate not met]
Brioso Cuffs +3,23518,Testa,7,Reforge[gate not met]
Brioso Cuffs +4,23994,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Brioso Just.,27816,Bent,29,Reforge[gate not met]
Brioso Just.,27816,Corvinos,14,Reforge[gate not met]
Brioso Just.,27816,Eir,6,Reforge[gate not met]
Brioso Just.,27816,Enko,15,Reforge[gate not met]
Brioso Just.,27816,Garvtest,21,Reforge[gate not met]
Brioso Just.,27816,Herdofturtles,22,Reforge[gate not met]
Brioso Just.,27816,Lantyisstuck,26,Reforge[gate not met]
Brioso Just.,27816,Midnightarsal,32,Reforge[gate not met]
Brioso Just.,27816,Molly,5,Reforge[gate not met]
Brioso Just.,27816,Nut,16,Reforge[gate not met]
Brioso Just.,27816,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Just.,27816,Rirint,4,Reforge[gate not met]
Brioso Just.,27816,Ririntwo,9,Reforge[gate not met]
Brioso Just.,27816,Spaz,17,Reforge[gate not met]
Brioso Just.,27816,Testa,7,Reforge[gate not met]
Brioso Just. +1,27837,Bent,29,Reforge[gate not met]
Brioso Just. +1,27837,Corvinos,14,Reforge[gate not met]
Brioso Just. +1,27837,Eir,6,Reforge[gate not met]
Brioso Just. +1,27837,Enko,15,Reforge[gate not met]
Brioso Just. +1,27837,Garvtest,21,Reforge[gate not met]
Brioso Just. +1,27837,Herdofturtles,22,Reforge[gate not met]
Brioso Just. +1,27837,Lantyisstuck,26,Reforge[gate not met]
Brioso Just. +1,27837,Midnightarsal,32,Reforge[gate not met]
Brioso Just. +1,27837,Molly,5,Reforge[gate not met]
Brioso Just. +1,27837,Nut,16,Reforge[gate not met]
Brioso Just. +1,27837,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Just. +1,27837,Rirint,4,Reforge[gate not met]
Brioso Just. +1,27837,Ririntwo,9,Reforge[gate not met]
Brioso Just. +1,27837,Spaz,17,Reforge[gate not met]
Brioso Just. +1,27837,Testa,7,Reforge[gate not met]
Brioso Justau. +2,23116,Bent,29,Reforge[gate not met]
Brioso Justau. +2,23116,Corvinos,14,Reforge[gate not met]
Brioso Justau. +2,23116,Eir,6,Reforge[gate not met]
Brioso Justau. +2,23116,Enko,15,Reforge[gate not met]
Brioso Justau. +2,23116,Garvtest,21,Reforge[gate not met]
Brioso Justau. +2,23116,Herdofturtles,22,Reforge[gate not met]
Brioso Justau. +2,23116,Lantyisstuck,26,Reforge[gate not met]
Brioso Justau. +2,23116,Midnightarsal,32,Reforge[gate not met]
Brioso Justau. +2,23116,Molly,5,Reforge[gate not met]
Brioso Justau. +2,23116,Nut,16,Reforge[gate not met]
Brioso Justau. +2,23116,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Justau. +2,23116,Rirint,4,Reforge[gate not met]
Brioso Justau. +2,23116,Ririntwo,9,Reforge[gate not met]
Brioso Justau. +2,23116,Spaz,17,Reforge[gate not met]
Brioso Justau. +2,23116,Testa,7,Reforge[gate not met]
Brioso Justau. +3,23451,Bent,29,Reforge[gate not met]
Brioso Justau. +3,23451,Corvinos,14,Reforge[gate not met]
Brioso Justau. +3,23451,Eir,6,Reforge[gate not met]
Brioso Justau. +3,23451,Enko,15,Reforge[gate not met]
Brioso Justau. +3,23451,Garvtest,21,Reforge[gate not met]
Brioso Justau. +3,23451,Herdofturtles,22,Reforge[gate not met]
Brioso Justau. +3,23451,Lantyisstuck,26,Reforge[gate not met]
Brioso Justau. +3,23451,Midnightarsal,32,Reforge[gate not met]
Brioso Justau. +3,23451,Molly,5,Reforge[gate not met]
Brioso Justau. +3,23451,Nut,16,Reforge[gate not met]
Brioso Justau. +3,23451,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Justau. +3,23451,Rirint,4,Reforge[gate not met]
Brioso Justau. +3,23451,Ririntwo,9,Reforge[gate not met]
Brioso Justau. +3,23451,Spaz,17,Reforge[gate not met]
Brioso Justau. +3,23451,Testa,7,Reforge[gate not met]
Brioso Justaucorps +4,23949,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Brioso Roundlet,27672,Bent,29,Reforge[gate not met]
Brioso Roundlet,27672,Corvinos,14,Reforge[gate not met]
Brioso Roundlet,27672,Eir,6,Reforge[gate not met]
Brioso Roundlet,27672,Enko,15,Reforge[gate not met]
Brioso Roundlet,27672,Garvtest,21,Reforge[gate not met]
Brioso Roundlet,27672,Herdofturtles,22,Reforge[gate not met]
Brioso Roundlet,27672,Lantyisstuck,26,Reforge[gate not met]
Brioso Roundlet,27672,Midnightarsal,32,Reforge[gate not met]
Brioso Roundlet,27672,Molly,5,Reforge[gate not met]
Brioso Roundlet,27672,Nut,16,Reforge[gate not met]
Brioso Roundlet,27672,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Roundlet,27672,Rirint,4,Reforge[gate not met]
Brioso Roundlet,27672,Ririntwo,9,Reforge[gate not met]
Brioso Roundlet,27672,Spaz,17,Reforge[gate not met]
Brioso Roundlet,27672,Testa,7,Reforge[gate not met]
Brioso Roundlet +1,27693,Bent,29,Reforge[gate not met]
Brioso Roundlet +1,27693,Corvinos,14,Reforge[gate not met]
Brioso Roundlet +1,27693,Eir,6,Reforge[gate not met]
Brioso Roundlet +1,27693,Enko,15,Reforge[gate not met]
Brioso Roundlet +1,27693,Garvtest,21,Reforge[gate not met]
Brioso Roundlet +1,27693,Herdofturtles,22,Reforge[gate not met]
Brioso Roundlet +1,27693,Lantyisstuck,26,Reforge[gate not met]
Brioso Roundlet +1,27693,Midnightarsal,32,Reforge[gate not met]
Brioso Roundlet +1,27693,Molly,5,Reforge[gate not met]
Brioso Roundlet +1,27693,Nut,16,Reforge[gate not met]
Brioso Roundlet +1,27693,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Roundlet +1,27693,Rirint,4,Reforge[gate not met]
Brioso Roundlet +1,27693,Ririntwo,9,Reforge[gate not met]
Brioso Roundlet +1,27693,Spaz,17,Reforge[gate not met]
Brioso Roundlet +1,27693,Testa,7,Reforge[gate not met]
Brioso Roundlet +2,23049,Bent,29,Reforge[gate not met]
Brioso Roundlet +2,23049,Corvinos,14,Reforge[gate not met]
Brioso Roundlet +2,23049,Eir,6,Reforge[gate not met]
Brioso Roundlet +2,23049,Enko,15,Reforge[gate not met]
Brioso Roundlet +2,23049,Garvtest,21,Reforge[gate not met]
Brioso Roundlet +2,23049,Herdofturtles,22,Reforge[gate not met]
Brioso Roundlet +2,23049,Lantyisstuck,26,Reforge[gate not met]
Brioso Roundlet +2,23049,Midnightarsal,32,Reforge[gate not met]
Brioso Roundlet +2,23049,Molly,5,Reforge[gate not met]
Brioso Roundlet +2,23049,Nut,16,Reforge[gate not met]
Brioso Roundlet +2,23049,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Roundlet +2,23049,Rirint,4,Reforge[gate not met]
Brioso Roundlet +2,23049,Ririntwo,9,Reforge[gate not met]
Brioso Roundlet +2,23049,Spaz,17,Reforge[gate not met]
Brioso Roundlet +2,23049,Testa,7,Reforge[gate not met]
Brioso Roundlet +3,23384,Bent,29,Reforge[gate not met]
Brioso Roundlet +3,23384,Corvinos,14,Reforge[gate not met]
Brioso Roundlet +3,23384,Eir,6,Reforge[gate not met]
Brioso Roundlet +3,23384,Enko,15,Reforge[gate not met]
Brioso Roundlet +3,23384,Garvtest,21,Reforge[gate not met]
Brioso Roundlet +3,23384,Herdofturtles,22,Reforge[gate not met]
Brioso Roundlet +3,23384,Lantyisstuck,26,Reforge[gate not met]
Brioso Roundlet +3,23384,Midnightarsal,32,Reforge[gate not met]
Brioso Roundlet +3,23384,Molly,5,Reforge[gate not met]
Brioso Roundlet +3,23384,Nut,16,Reforge[gate not met]
Brioso Roundlet +3,23384,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Roundlet +3,23384,Rirint,4,Reforge[gate not met]
Brioso Roundlet +3,23384,Ririntwo,9,Reforge[gate not met]
Brioso Roundlet +3,23384,Spaz,17,Reforge[gate not met]
Brioso Roundlet +3,23384,Testa,7,Reforge[gate not met]
Brioso Roundlet +4,23904,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Brioso Slippers,28232,Bent,29,Reforge[gate not met]
Brioso Slippers,28232,Corvinos,14,Reforge[gate not met]
Brioso Slippers,28232,Eir,6,Reforge[gate not met]
Brioso Slippers,28232,Enko,15,Reforge[gate not met]
Brioso Slippers,28232,Garvtest,21,Reforge[gate not met]
Brioso Slippers,28232,Herdofturtles,22,Reforge[gate not met]
Brioso Slippers,28232,Lantyisstuck,26,Reforge[gate not met]
Brioso Slippers,28232,Midnightarsal,32,Reforge[gate not met]
Brioso Slippers,28232,Molly,5,Reforge[gate not met]
Brioso Slippers,28232,Nut,16,Reforge[gate not met]
Brioso Slippers,28232,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Slippers,28232,Rirint,4,Reforge[gate not met]
Brioso Slippers,28232,Ririntwo,9,Reforge[gate not met]
Brioso Slippers,28232,Spaz,17,Reforge[gate not met]
Brioso Slippers,28232,Testa,7,Reforge[gate not met]
Brioso Slippers +1,28253,Bent,29,Reforge[gate not met]
Brioso Slippers +1,28253,Corvinos,14,Reforge[gate not met]
Brioso Slippers +1,28253,Eir,6,Reforge[gate not met]
Brioso Slippers +1,28253,Enko,15,Reforge[gate not met]
Brioso Slippers +1,28253,Garvtest,21,Reforge[gate not met]
Brioso Slippers +1,28253,Herdofturtles,22,Reforge[gate not met]
Brioso Slippers +1,28253,Lantyisstuck,26,Reforge[gate not met]
Brioso Slippers +1,28253,Midnightarsal,32,Reforge[gate not met]
Brioso Slippers +1,28253,Molly,5,Reforge[gate not met]
Brioso Slippers +1,28253,Nut,16,Reforge[gate not met]
Brioso Slippers +1,28253,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Slippers +1,28253,Rirint,4,Reforge[gate not met]
Brioso Slippers +1,28253,Ririntwo,9,Reforge[gate not met]
Brioso Slippers +1,28253,Spaz,17,Reforge[gate not met]
Brioso Slippers +1,28253,Testa,7,Reforge[gate not met]
Brioso Slippers +2,23317,Bent,29,Reforge[gate not met]
Brioso Slippers +2,23317,Corvinos,14,Reforge[gate not met]
Brioso Slippers +2,23317,Eir,6,Reforge[gate not met]
Brioso Slippers +2,23317,Enko,15,Reforge[gate not met]
Brioso Slippers +2,23317,Garvtest,21,Reforge[gate not met]
Brioso Slippers +2,23317,Herdofturtles,22,Reforge[gate not met]
Brioso Slippers +2,23317,Lantyisstuck,26,Reforge[gate not met]
Brioso Slippers +2,23317,Midnightarsal,32,Reforge[gate not met]
Brioso Slippers +2,23317,Molly,5,Reforge[gate not met]
Brioso Slippers +2,23317,Nut,16,Reforge[gate not met]
Brioso Slippers +2,23317,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Slippers +2,23317,Rirint,4,Reforge[gate not met]
Brioso Slippers +2,23317,Ririntwo,9,Reforge[gate not met]
Brioso Slippers +2,23317,Spaz,17,Reforge[gate not met]
Brioso Slippers +2,23317,Testa,7,Reforge[gate not met]
Brioso Slippers +3,23652,Bent,29,Reforge[gate not met]
Brioso Slippers +3,23652,Corvinos,14,Reforge[gate not met]
Brioso Slippers +3,23652,Eir,6,Reforge[gate not met]
Brioso Slippers +3,23652,Enko,15,Reforge[gate not met]
Brioso Slippers +3,23652,Garvtest,21,Reforge[gate not met]
Brioso Slippers +3,23652,Herdofturtles,22,Reforge[gate not met]
Brioso Slippers +3,23652,Lantyisstuck,26,Reforge[gate not met]
Brioso Slippers +3,23652,Midnightarsal,32,Reforge[gate not met]
Brioso Slippers +3,23652,Molly,5,Reforge[gate not met]
Brioso Slippers +3,23652,Nut,16,Reforge[gate not met]
Brioso Slippers +3,23652,Oopsiepoopsie,27,Reforge[gate not met]
Brioso Slippers +3,23652,Rirint,4,Reforge[gate not met]
Brioso Slippers +3,23652,Ririntwo,9,Reforge[gate not met]
Brioso Slippers +3,23652,Spaz,17,Reforge[gate not met]
Brioso Slippers +3,23652,Testa,7,Reforge[gate not met]
Brioso Slippers +4,24084,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Brioso Whistle,26031,Oopsiepoopsie,27,Crafting[gate not met]
Brise-os,18873,Oopsiepoopsie,27,Crafting[gate not met]
Brise-os +1,18874,Oopsiepoopsie,27,Crafting[gate not met]
Brisingamen,13097,Oopsiepoopsie,27,Crafting[gate not met]
Brisingamen +1,13162,Oopsiepoopsie,27,Crafting[gate not met]
Broach Lance,18122,Oopsiepoopsie,27,Crafting[gate not met]
Broadsword,16545,Oopsiepoopsie,27,Crafting[gate not met]
Broadsword +1,16634,Oopsiepoopsie,27,Crafting[gate not met]
Brocade Obi,13207,Oopsiepoopsie,27,Crafting[gate not met]
Brocade Obi +1,13234,Oopsiepoopsie,27,Crafting[gate not met]
Brontes Cuisses,28142,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Trial By Lightning(Battlefield)[gate not met]
Bronze Axe,16640,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Axe +1,16646,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Bolt,17339,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Bullet,17343,Oopsiepoopsie,27,!shop[gate not met]
Bronze Cap,12448,Oopsiepoopsie,27,Crafting[gate not met] | drop:Goblin Fisher(Dangruf Wadi)[gate not met] | drop:Goblin Lurcher(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Ranguemont Pass)[gate not met] | drop:Goblin Thug(King Ranperres Tomb)[gate not met] | drop:Goblin Thug(Dangruf Wadi)[gate not met] | drop:Goblin Thug(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Outer Horutoto Ruins)[gate not met] | drop:Orcish Fodder(Ghelsba Outpost)[gate not met] | drop:Orcish Fodder(Fort Ghelsba)[gate not met] | drop:Orcish Grappler(Ghelsba Outpost)[gate not met] | drop:Orcish Grappler(Fort Ghelsba)[gate not met] | drop:Yagudo Initiate(Giddeus)[gate not met] | drop:Young Quadav(Palborough Mines)[gate not met]
Bronze Cap +1,12463,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Dagger,16448,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Dagger +1,16492,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Hammer,17042,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Hammer +1,17144,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Harness,12576,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Harness +1,12607,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Knife,16465,Oopsiepoopsie,27,Nyzul Isle[gate not met]
Bronze Knife +1,16491,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Knuckles,16390,Oopsiepoopsie,27,Nyzul Isle[gate not met]
Bronze Leggings,12960,Oopsiepoopsie,27,Crafting[gate not met] | drop:Goblin Fisher(Dangruf Wadi)[gate not met] | drop:Goblin Lurcher(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Ranguemont Pass)[gate not met] | drop:Goblin Thug(King Ranperres Tomb)[gate not met] | drop:Goblin Thug(Dangruf Wadi)[gate not met] | drop:Goblin Thug(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Outer Horutoto Ruins)[gate not met] | drop:Orcish Fodder(Ghelsba Outpost)[gate not met] | drop:Orcish Fodder(Fort Ghelsba)[gate not met] | drop:Orcish Grappler(Ghelsba Outpost)[gate not met] | drop:Orcish Grappler(Fort Ghelsba)[gate not met] | drop:Yagudo Initiate(Giddeus)[gate not met] | drop:Young Quadav(Palborough Mines)[gate not met]
Bronze Mace,17034,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Mace +1,17086,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Mittens,12704,Oopsiepoopsie,27,Crafting[gate not met] | drop:Goblin Fisher(Dangruf Wadi)[gate not met] | drop:Goblin Lurcher(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Ranguemont Pass)[gate not met] | drop:Goblin Thug(King Ranperres Tomb)[gate not met] | drop:Goblin Thug(Dangruf Wadi)[gate not met] | drop:Goblin Thug(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Outer Horutoto Ruins)[gate not met] | drop:Orcish Fodder(Ghelsba Outpost)[gate not met] | drop:Orcish Fodder(Fort Ghelsba)[gate not met] | drop:Orcish Grappler(Ghelsba Outpost)[gate not met] | drop:Orcish Grappler(Fort Ghelsba)[gate not met] | drop:Yagudo Initiate(Giddeus)[gate not met] | drop:Young Quadav(Palborough Mines)[gate not met]
Bronze Mittens +1,12695,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Rod,17059,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Rod +1,17111,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Spear,16833,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Spear +1,16859,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Subligar,12832,Oopsiepoopsie,27,Crafting[gate not met] | drop:Goblin Fisher(Dangruf Wadi)[gate not met] | drop:Goblin Lurcher(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Ranguemont Pass)[gate not met] | drop:Goblin Thug(King Ranperres Tomb)[gate not met] | drop:Goblin Thug(Dangruf Wadi)[gate not met] | drop:Goblin Thug(Inner Horutoto Ruins)[gate not met] | drop:Goblin Thug(Outer Horutoto Ruins)[gate not met] | drop:Orcish Fodder(Ghelsba Outpost)[gate not met] | drop:Orcish Fodder(Fort Ghelsba)[gate not met] | drop:Orcish Grappler(Ghelsba Outpost)[gate not met] | drop:Orcish Grappler(Fort Ghelsba)[gate not met] | drop:Yagudo Initiate(Giddeus)[gate not met] | drop:Young Quadav(Palborough Mines)[gate not met]
Bronze Sword,16535,Oopsiepoopsie,27,Nyzul Isle[gate not met]
Bronze Sword +1,16623,Oopsiepoopsie,27,Crafting[gate not met]
Bronze Zaghnal,16768,Oopsiepoopsie,27,Nyzul Isle[gate not met]
Brook Gages,11905,Oopsiepoopsie,27,drop:Ironclad Triturator(Abyssea-Uleguerand)[gate not met]
Brs. Baghnakhs +1,16441,Oopsiepoopsie,27,Crafting[gate not met]
Brs. Scale Mail +1,12665,Oopsiepoopsie,27,Crafting[gate not met]
Brute Gauntlets,11908,Oopsiepoopsie,27,drop:Burstrox Powderpate(Abyssea-Grauberg)[gate not met]
Brv. Warbonnet,15158,Oopsiepoopsie,27,Crafting[gate not met]
Brv. Wristbands,14851,Oopsiepoopsie,27,Crafting[gate not met]
Brz. Knuckles +1,16440,Oopsiepoopsie,27,Crafting[gate not met]
Brz. Leggings +1,12951,Oopsiepoopsie,27,Crafting[gate not met]
Brz. Subligar +1,12823,Oopsiepoopsie,27,Crafting[gate not met]
Brz. Zaghnal +1,16778,Oopsiepoopsie,27,Crafting[gate not met]
Bst. Collar +1,25466,Oopsiepoopsie,27,Crafting[gate not met]
Bst. Collar +2,25467,Oopsiepoopsie,27,Crafting[gate not met]
Btl. Leggings +1,13043,Oopsiepoopsie,27,Crafting[gate not met]
Bubbly Broth,17917,Oopsiepoopsie,27,Crafting[gate not met]
Buburimu Gorget,13057,Oopsiepoopsie,27,Nyzul Isle[gate not met] | drop:Buburimboo(Buburimu Peninsula)[gate not met]
Buccaneer's Knife,17622,Oopsiepoopsie,27,drop:Brigandish Blade(VeLugannon Palace)[gate not met]
Buckler,12301,Oopsiepoopsie,27,Crafting[gate not met]
Buckler +1,12327,Oopsiepoopsie,27,Crafting[gate not met]
Budliqa,20814,Oopsiepoopsie,27,Crafting[gate not met]
Budliqa +1,20815,Oopsiepoopsie,27,Crafting[gate not met]
Buffoon's Collar,16281,Oopsiepoopsie,27,Crafting[gate not met]
Bug Broth,17862,Oopsiepoopsie,27,Crafting[gate not met]
Bug-ridden Broth,21451,Oopsiepoopsie,27,Crafting[gate not met]
Bugard Strap,19017,Oopsiepoopsie,27,Crafting[gate not met]
Bugard Strap +1,19018,Oopsiepoopsie,27,Crafting[gate not met]
Bull Earring,13367,Oopsiepoopsie,27,drop:Ooze(Castle Oztroja)[gate not met]
Bullet,17340,Oopsiepoopsie,27,!shop[gate not met]
Bullwhip Belt,11728,Oopsiepoopsie,27,drop:Ovni(Abyssea-La Theine)[gate not met]
Buquwik Cape,28612,Bent,29,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Corvinos,14,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Eir,6,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Lantyisstuck,26,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Midnightarsal,32,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Molly,5,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Nut,16,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Oopsiepoopsie,27,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Rirint,4,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Ririntwo,9,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Spaz,17,Gear Vendor[need HL_Tier>=1]
Buquwik Cape,28612,Testa,7,Gear Vendor[need HL_Tier>=1]
Buramgh,20806,Oopsiepoopsie,27,Unity Wanted NM[gate not met] | drop:Jester Malatrix(Escha ZiTah)[gate not met]
Buramgh +1,20807,Oopsiepoopsie,27,Unity upgrade[gate not met]
Burattinaios,18780,Oopsiepoopsie,27,drop:Ogopogo(Abyssea-Uleguerand)[gate not met]
Buremte Gloves,28050,Bent,29,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Corvinos,14,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Eir,6,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Lantyisstuck,26,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Midnightarsal,32,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Molly,5,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Nut,16,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Oopsiepoopsie,27,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Rirint,4,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Ririntwo,9,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Spaz,17,Gear Vendor[need HL_Tier>=2]
Buremte Gloves,28050,Testa,7,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Bent,29,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Corvinos,14,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Eir,6,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Lantyisstuck,26,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Midnightarsal,32,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Molly,5,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Nut,16,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Oopsiepoopsie,27,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Rirint,4,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Ririntwo,9,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Spaz,17,Gear Vendor[need HL_Tier>=2]
Buremte Hat,27767,Testa,7,Gear Vendor[need HL_Tier>=2]
Burning Cesti,16398,Oopsiepoopsie,27,Crafting[gate not met]
Burning Claymore,16929,Oopsiepoopsie,27,Crafting[gate not met]
Burning Fists,18753,Oopsiepoopsie,27,Nyzul Isle[gate not met]
Burnite Shell,16511,Oopsiepoopsie,27,drop:Ichorous Ire(Maze of Shakhrami)[gate not met]
Burtgang,19825,Oopsiepoopsie,27,Weapon Forge[gate not met]
Burtgang,20649,Oopsiepoopsie,27,Weapon Forge[gate not met]
Burtgang,20650,Oopsiepoopsie,27,Weapon Forge[gate not met]
Burtgang,20687,Oopsiepoopsie,27,Weapon Forge[gate not met]
Bushinomimi,14743,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Bustle Dirs,11936,Oopsiepoopsie,27,drop:Ironclad Pulverizer(Abyssea-Misareaux)[gate not met]
Busuto,16907,Oopsiepoopsie,27,Crafting[gate not met]
Busuto +1,16927,Oopsiepoopsie,27,Crafting[gate not met]
Butachi,18431,Oopsiepoopsie,27,Crafting[gate not met]
Butachi +1,18432,Oopsiepoopsie,27,Crafting[gate not met]
Butterfly Axe,16704,Oopsiepoopsie,27,Nyzul Isle[gate not met]
Butterfly Axe +1,16716,Oopsiepoopsie,27,Crafting[gate not met]
Butznar Shield,28671,Oopsiepoopsie,27,Crafting[gate not met]
Butznar Shield +1,28669,Oopsiepoopsie,27,Crafting[gate not met]
Buzbaz Sainti,18791,Oopsiepoopsie,27,Crafting[gate not met]
Buzbaz Sainti +1,18792,Oopsiepoopsie,27,Crafting[gate not met]
Buzdygan,17038,Oopsiepoopsie,27,Crafting[gate not met]
Buzdygan +1,17460,Oopsiepoopsie,27,Crafting[gate not met]
Bv. Escutcheon,26447,Oopsiepoopsie,27,Crafting[gate not met]
Byakko's Axe,18198,Oopsiepoopsie,27,drop:Byakko(RuAun Gardens)[gate not met]
Byakko's Haidate,12818,Oopsiepoopsie,27,drop:Byakko(RuAun Gardens)[gate not met]
Byrnie,13740,Oopsiepoopsie,27,Crafting[gate not met]
Byrnie +1,13741,Oopsiepoopsie,27,Crafting[gate not met]
C. Blood Broth,17890,Oopsiepoopsie,27,Crafting[gate not met]
C. Carrion Broth,17867,Oopsiepoopsie,27,Crafting[gate not met] | drop:Goblin Tamer(Kuftal Tunnel)[gate not met]
C. Grass. Broth,17898,Oopsiepoopsie,27,Crafting[gate not met]
C. Plasma Broth,17879,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Cloak +1,14354,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Cloak +2,14355,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Mitts +1,14047,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Mitts +2,14048,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Shoes +1,14155,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Shoes +2,14156,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Slacks +1,14275,Oopsiepoopsie,27,Crafting[gate not met]
C.c. Slacks +2,14276,Oopsiepoopsie,27,Crafting[gate not met]
Cab. Breeches,27164,Bent,29,Reforge[gate not met]
Cab. Breeches,27164,Corvinos,14,Reforge[gate not met]
Cab. Breeches,27164,Eir,6,Reforge[gate not met]
Cab. Breeches,27164,Enko,15,Reforge[gate not met]
Cab. Breeches,27164,Garvtest,21,Reforge[gate not met]
Cab. Breeches,27164,Herdofturtles,22,Reforge[gate not met]
Cab. Breeches,27164,Lantyisstuck,26,Reforge[gate not met]
